,id,duration_ms,key,liveness,mode,explicit
85,6TBzRwnX2oYd8aOrOuyK1p,224921,0,0.0916,1,False
86,7mpdNiaQvygj2rHoxkzMfa,157532,1,0.108,1,False
87,7j4OmvkjRz0PrjFADlHfQx,242974,2,0.112,0,False
88,2mnXxnrX5vCGolNkaFvVeM,196800,9,0.13,1,True
89,5w40ZYhbBMAlHYNDaVJIUu,184013,2,0.118,1,True
90,2CeKVsFFXG4QzA415QygGb,155960,5,0.305,1,False
91,1FEiijYPJtyswChfcpv3p0,264773,1,0.121,0,False
92,3p7XQpdt8Dr6oMXSvRZ9bg,194926,11,0.0878,0,False
93,0tgVpDi06FyKpA1z0VMD4v,263400,8,0.106,1,False
94,1xK59OXxi2TAAAbmZK0kBL,132631,6,0.322,1,False
95,5IgjP7X4th6nMNDh4akUHb,184613,9,0.105,0,True
96,51FvjPEGKq2zByeeEQ43V9,189357,8,0.112,0,False
97,7sliFe6W30tPBPh6dvZsIH,139326,1,0.0876,1,True
98,5O2P9iiztwhomNh8xkR9lJ,226600,8,0.115,1,False
99,0RiRZpuVRbi7oqRdSMwhQY,157560,2,0.0685,1,False
100,4uOBL4DDWWVx4RhYKlPbPC,161240,4,0.27,0,False
101,5wG3HvLhF6Y5KTGlK0IW3J,194787,1,0.168,0,True
102,5jQI2r1RdgtuT8S3iG8zFC,202396,10,0.157,1,True
103,68Dni7IE4VyPkTOH9mRWHr,292799,10,0.0534,0,True
104,6Um358vY92UBv5DloTRX9L,169419,10,0.109,1,False
105,6JIC3hbC28JZKZ8AlAqX8h,202735,1,0.0915,1,False
106,7ovUcF5uHTBRzUpB6ZOmvt,213234,1,0.367,1,False
107,0JXXNGljqupsJaZsgSbMZV,195373,11,0.191,0,False
108,58ge6dfP91o9oXMzq3XkIS,253587,0,0.0733,1,False
109,6UN73IYd0hZxLi8wFPMQij,139560,6,0.0504,1,True
110,6l8mgVN9Xf1hiDIFGA6CTE,260962,1,0.163,1,True
111,7qEHsqek33rTcFNT9PFqLf,182161,1,0.105,1,False
112,6dgUya35uo964z7GZXM07g,163648,8,0.224,1,False
113,0u2P5u6lvoDfwTYjAADbn4,200186,4,0.095,0,False
114,3k3NWokhRRkEPhCzPmV8TW,258299,3,0.528,0,False
115,7aRCf5cLOFN1U7kvtChY1G,272113,10,0.33,0,True
116,0IKeDy5bT9G0bA7ZixRT4A,271862,7,0.0716,1,False
117,7MVIfkyzuUmQ716j8U7yGR,128677,5,0.343,0,False
118,1R0a2iXumgCiFb7HEZ7gUE,236413,9,0.0607,0,False
119,7lQ8MOhq6IN2w8EYcFNSUk,290320,7,0.237,1,True
120,7yq4Qj7cqayVTp3FF9CWbm,204280,1,0.151,1,False
121,4k6Uh1HXdhtusDW5y8Gbvy,232067,1,0.402,1,True
122,5QW9K4A1gMnIi94YUxtsfM,266075,4,0.121,1,False
123,0CYTGMBYkwUxrj1MWDLrC5,168133,8,0.35,0,True
124,1Lo0QY9cvc8sUB2vnIOxDT,265493,8,0.115,1,False
125,76OGwb5RA9h4FxQPT33ekc,179551,0,0.447,1,False
126,0pqnGHJpmpxLKifKRmU6WP,204347,10,0.081,0,False
127,2a1o6ZejUi8U3wzzOtCOYw,198773,0,0.0503,1,False
128,6UelLqGlWMcVH1E5c4H7lY,174000,0,0.335,1,False
129,4RvWPyQ5RL0ao9LPZeSouE,251489,7,0.104,1,False
130,37F0uwRSrdzkBiuj0D5UHI,218880,8,0.164,1,True
131,0ll8uFnc0nANY35E0Lfxvg,236160,9,0.0849,1,False
132,2WfaOiMkCvy7F5fcp2zZ8L,225280,6,0.0928,0,False
133,6I3mqTwhRpn34SLVafSH7G,153190,2,0.415,1,False
134,22skzmqfdWrjJylampe0kt,258432,2,0.0986,1,False
135,12YCtLHGk6tP6RbHDHflCs,159973,9,0.202,0,False
136,3AVrVz5rK8Hrqo9YGiVGN5,290147,5,0.109,1,False
137,1IHWl5LamUGEuP4ozKQSXZ,243717,5,0.126,0,True
138,0T2pB7P1VdXPhLdQZ488uH,171880,4,0.315,0,True
139,3rWDp9tBPQR9z6U5YyRSK4,174783,0,0.115,1,False
140,1xzi1Jcr7mEi9K2RfzLOqS,225389,7,0.0698,1,True
141,4uqJelb9THHmJ3OCohg4ZJ,173698,9,0.311,1,False
